SPEC:   5281.15   5286.65 4.03719e-16 8.89756e-18 1
SPEC:   5286.65   5292.15 4.03201e-16 8.77300e-18 1
SPEC:   5292.15   5297.65 4.13675e-16 8.62314e-18 1
SPEC:   5297.75   5303.25 4.20185e-16 8.48757e-18 1
SPEC:   5303.25   5308.75 4.10584e-16 8.34249e-18 1
SPEC:   5308.75   5314.25 4.11855e-16 8.18062e-18 1
SPEC:   5314.25   5319.75 4.08759e-16 8.01153e-18 1
SPEC:   5319.75   5325.25 4.19197e-16 7.84794e-18 1
SPEC:   5325.35   5330.85 4.23321e-16 7.66756e-18 1
SPEC:   5330.85   5336.35 4.11641e-16 7.51069e-18 1
SPEC:   5336.35   5341.85 4.11501e-16 7.36274e-18 1
SPEC:   5341.85   5347.35 4.05835e-16 7.19804e-18 1
SPEC:   5347.35   5352.85 4.10692e-16 7.06124e-18 1
SPEC:   5352.85   5358.35 4.22265e-16 6.91829e-18 1
SPEC:   5358.45   5363.95 4.25468e-16 6.76812e-18 1
SPEC:   5363.95   5369.45 4.08478e-16 6.64716e-18 1
SPEC:   5369.45   5374.95 4.21274e-16 6.53023e-18 1
SPEC:   5374.95   5380.45 4.15461e-16 6.41285e-18 1
SPEC:   5380.45   5385.95 4.14828e-16 6.29757e-18 1
SPEC:   5386.05   5391.55 4.13678e-16 6.19396e-18 1
SPEC:   5391.55   5397.05 4.11584e-16 6.11217e-18 1
SPEC:   5397.05   5402.55 4.10673e-16 6.02725e-18 1
SPEC:   5402.55   5408.05 4.06920e-16 5.94353e-18 1
SPEC:   5408.05   5413.55 4.14483e-16 5.88787e-18 1
SPEC:   5413.55   5419.05 4.18162e-16 5.83259e-18 1
SPEC:   5419.15   5424.65 3.96096e-16 5.77632e-18 1
SPEC:   5424.65   5430.15 3.95743e-16 5.73792e-18 1
SPEC:   5430.15   5435.65 3.91355e-16 5.69012e-18 1
SPEC:   5435.65   5441.15 3.74459e-16 5.67434e-18 1
SPEC:   5441.15   5446.65 3.66694e-16 5.63925e-18 1
SPEC:   5446.65   5452.15 3.54378e-16 5.61610e-18 1
SPEC:   5452.25   5457.75 3.38858e-16 5.59047e-18 1
SPEC:   5457.75   5463.25 3.34925e-16 5.57609e-18 1
SPEC:   5463.25   5468.75 3.31971e-16 5.56388e-18 1
SPEC:   5468.75   5474.25 3.38845e-16 5.53584e-18 1
SPEC:   5474.25   5479.75 3.32203e-16 5.53757e-18 1
SPEC:   5479.85   5485.35 3.25930e-16 5.53058e-18 1
SPEC:   5485.35   5490.85 3.20005e-16 5.51822e-18 1
SPEC:   5490.85   5496.35 3.20527e-16 5.50516e-18 1
SPEC:   5496.35   5501.85 3.24614e-16 5.50205e-18 1
SPEC:   5501.85   5507.35 3.08592e-16 5.48526e-18 1
SPEC:   5507.35   5512.85 2.96822e-16 5.47289e-18 1
SPEC:   5512.95   5518.45 3.13848e-16 5.45646e-18 1
SPEC:   5518.45   5523.95 3.13204e-16 5.44084e-18 1
SPEC:   5523.95   5529.45 3.18699e-16 5.41272e-18 1
